stage,cve_id,before_bytes,after_bytes,reduction_rate,source_prompt
szz_anchor_10,CVE-2020-1967,11366,10249,0.098276,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-1967\szz_handoff_prompt.txt
szz_anchor_10,CVE-2020-8231,70040,59080,0.156482,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2020-8231\szz_handoff_prompt.txt
szz_anchor_10,CVE-2022-0171,57841,50140,0.133141,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2022-0171\szz_handoff_prompt.txt
szz_anchor_10,CVE-2022-0286,43117,38375,0.10998,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-10-final\CVE-2022-0286\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-10251,27789,23162,0.166505,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-10251\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-10702,14010,11339,0.19065,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-10702\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11647,65471,53171,0.187869,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11647\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11869,33787,25602,0.242253,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11869\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11947,13630,10995,0.193324,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11947\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11984,111064,95781,0.137605,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11984\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11985,19513,15808,0.189873,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11985\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-11993,101567,87386,0.139622,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-11993\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-12284,60715,51509,0.151626,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-12284\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-13164,60823,51952,0.145849,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-13164\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-13904,0,213523,0,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-13904\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-14212,64990,52823,0.187213,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-14212\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-15389,59914,51121,0.14676,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-15389\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-15466,60960,51265,0.159039,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-15466\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-1967,12462,10172,0.183759,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-1967\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-1971,28233,21192,0.249389,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-1971\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-25663,59093,51205,0.133485,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-25663\szz_handoff_prompt.txt
szz_anchor_30,CVE-2020-27814,0,8685,0,E:\AI\Agent\workflow\VulnGraph\runs\batches\root-cause-v2-szz-anchor-audit-engineering-deepseek-30-final-fallback\CVE-2020-27814\szz_handoff_prompt.txt
