field_path,occurrences,approx_bytes,file_count,classification,example_files
results[].ingestion_result.details.structural_validation.observation_payloads[].patch_hunk_ids,191,79562,1,wrapper_owned_not_model_output,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.observation_payloads[].patch_hunk_ids,191,79562,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10251/ingestion_result.json
observation_payloads[].patch_hunk_ids,191,79562,29,wrapper_owned_not_model_output,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10251/structural_validation.json
results[].ingestion_result.details.structural_validation.packet_index.files,29,77230,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.structural_validation.packet_index.files,29,77230,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
packet_index.files,29,77230,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
CVE-2022-0171,4,75881,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
CVE-2020-19667,4,74704,4,keep_in_model_view,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
candidates[].diagnostic.false_positive_taxonomy,80,73581,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
candidates[].diagnostic.gt_overlap_diagnostics,80,71838,30,audit_only,judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10251/judge_audit_packet.json | judge30:CVE-2020-10702/judge_audit_packet.json
cases.CVE-2020-13164,3,71319,3,keep_in_model_view,szz10:provenance_manifest.json | version10:schema_diagnostics.json | version30:schema_diagnostics.json
CVE-2020-13164.diagnostic_all_tags[].false_positive_taxonomy,4,69416,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
candidates[].candidate_source,3503,68472,174,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
CVE-2020-1971.diagnostic_all_tags,2,66936,2,audit_only,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
CVE-2020-15466.release_tag_universe,2,65808,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
CVE-2021-23840,2,65016,2,keep_in_model_view,version30:per_candidate_probe.json | version30:ranking_diagnostics.json
results[].ingestion_result.details.hypothesis_results,29,64852,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
results[].ingestion_result.details.structural_validation.hypothesis_results,29,64852,1,keep_in_model_view,rootcause30:summary.json | rootcause30:summary.json | rootcause30:summary.json
details.hypothesis_results,29,64852,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
details.structural_validation.hypothesis_results,29,64852,29,keep_in_model_view,rootcause30:CVE-2020-10251/ingestion_result.json | rootcause30:CVE-2020-10702/ingestion_result.json | rootcause30:CVE-2020-11647/ingestion_result.json
hypothesis_results,29,64852,29,keep_in_model_view,rootcause30:CVE-2020-10251/structural_validation.json | rootcause30:CVE-2020-10702/structural_validation.json | rootcause30:CVE-2020-11647/structural_validation.json
CVE-2022-0171.diagnostic_all_tags,4,64493,4,audit_only,version10:per_candidate_probe.json | version10:ranking_diagnostics.json | version30:per_candidate_probe.json
code_anchors,29,61728,29,keep_in_model_view,rootcause30:CVE-2020-10251/parsed_output.json | rootcause30:CVE-2020-10702/parsed_output.json | rootcause30:CVE-2020-11647/parsed_output.json
CVE-2020-13164.release_tag_universe.top1,2,58686,2,keep_in_model_view,version10:ranking_diagnostics.json | version30:ranking_diagnostics.json
candidates[].function_name,3362,57643,114,keep_in_model_view,szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json | szz10:CVE-2020-11869/candidate_inventory.json
CVE-2020-13164.diagnostic_all_tags[].predicted_tags,4,56980,2,audit_only,version10:per_candidate_probe.json | version10:per_candidate_probe.json | version30:per_candidate_probe.json
