cve_id,repo_id,fix_commit_sha,status,reason,parent_count,all_parents_resolve,is_merge,reachable_from_indexed_refs,reachability_basis,containing_ref_count
CVE-2020-22019,FFmpeg,82ad1b76751bcfad5005440db48c46a4de5d6f02,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22019,FFmpeg,c2ae30188823e6c25183283607495c3bc1584a8e,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22019,FFmpeg,c7da0dad1f17856a12c98135eae9824f771e8f3a,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22019,FFmpeg,e6b5c7a5fccf7237b2aceb4334dec53f181e0149,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,93ad1e4a9f17ac5145c2957bb270a454c8a0cefd,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,b116c7a6b05d96845ebc490e916e7cc3d90c1249,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,ce5274c1385d55892a692998923802023526b765,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,278f86ece9582fd321105a54be9b7cf26b499967,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,d60effdf83eddcdb18c84d339a526fb0318723fe,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22020,FFmpeg,0744d7176ae1027d5ad7de28b283a78d58e64545,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,1c5391ce1c34824d29794ee827aa6d5e984a14b6,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,bade86f6794b0b2b067d9ca741e1070322ff007c,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,7971f62120a55c141ec437aa3f0bacc1c1a3526b,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,0ab6b4469caf11119546a58c538f7c55af77ab36,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,a7c3cfd8ea15bee839da7fb21e41f58b8fb0db9f,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,bc5dde5ec0ba79860e566a44439ac72ae4a827f1,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,6e2b18a895ca3d3df9682bbb313d3d1eaf2d7d1f,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22021,FFmpeg,b5ffefdd61c94eb98b1ca555b855e2c0bdd953d6,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22022,FFmpeg,ea5d154845dfc1c6e550d197d7da79aee87c9f66,resolved,,1,True,False,True,commit_node_from_git_log_all,
CVE-2020-22022,FFmpeg,c79606f233fed20a6d31e6cd5f24466021eaf94b,resolved,,1,True,False,True,commit_node_from_git_log_all,
